state,district,precinct,party,candidate,votes
NORTH CAROLINA,1,OS GASTON,DEMOCRAT,G K BUTTERFIELD,1710
NORTH CAROLINA,1,OS GASTON,REPUBLICAN,SANDY SMITH,824
NORTH CAROLINA,1,OS HALIFAX,DEMOCRAT,G K BUTTERFIELD,3217
NORTH CAROLINA,1,OS HALIFAX,REPUBLICAN,SANDY SMITH,943
NORTH CAROLINA,1,OS JACKSON,DEMOCRAT,G K BUTTERFIELD,1416
NORTH CAROLINA,1,OS JACKSON,REPUBLICAN,SANDY SMITH,1075
NORTH CAROLINA,1,OS LIB,DEMOCRAT,G K BUTTERFIELD,4037
NORTH CAROLINA,1,OS LIB,REPUBLICAN,SANDY SMITH,2706
NORTH CAROLINA,1,OS LITTLETON,DEMOCRAT,G K BUTTERFIELD,4605
NORTH CAROLINA,1,OS LITTLETON,REPUBLICAN,SANDY SMITH,5202
NORTH CAROLINA,1,OS LOB,DEMOCRAT,G K BUTTERFIELD,2356
NORTH CAROLINA,1,OS LOB,REPUBLICAN,SANDY SMITH,1665
NORTH CAROLINA,1,OS LW,DEMOCRAT,G K BUTTERFIELD,977
NORTH CAROLINA,1,OS LW,REPUBLICAN,SANDY SMITH,196
NORTH CAROLINA,1,OS MAX,DEMOCRAT,G K BUTTERFIELD,5392
NORTH CAROLINA,1,OS MAX,REPUBLICAN,SANDY SMITH,12047
NORTH CAROLINA,1,OS MOT,DEMOCRAT,G K BUTTERFIELD,1744
NORTH CAROLINA,1,OS MOT,REPUBLICAN,SANDY SMITH,2894
NORTH CAROLINA,1,OS PHL,DEMOCRAT,G K BUTTERFIELD,1092
NORTH CAROLINA,1,OS PHL,REPUBLICAN,SANDY SMITH,4690
NORTH CAROLINA,1,OS POW,DEMOCRAT,G K BUTTERFIELD,1036
NORTH CAROLINA,1,OS POW,REPUBLICAN,SANDY SMITH,735
NORTH CAROLINA,1,OS RICHSQUARE,DEMOCRAT,G K BUTTERFIELD,807
NORTH CAROLINA,1,OS RICHSQUARE,REPUBLICAN,SANDY SMITH,204
NORTH CAROLINA,1,OS RINGWOOD,DEMOCRAT,G K BUTTERFIELD,2036
NORTH CAROLINA,1,OS RINGWOOD,REPUBLICAN,SANDY SMITH,285
NORTH CAROLINA,1,OS SCOTLAND NECK,DEMOCRAT,G K BUTTERFIELD,1301
NORTH CAROLINA,1,OS SCOTLAND NECK,REPUBLICAN,SANDY SMITH,475
NORTH CAROLINA,1,OS SEVERN,DEMOCRAT,G K BUTTERFIELD,358
NORTH CAROLINA,1,OS SEVERN,REPUBLICAN,SANDY SMITH,250
NORTH CAROLINA,1,OS STUDENT CENTER,DEMOCRAT,G K BUTTERFIELD,3571
NORTH CAROLINA,1,OS STUDENT CENTER,REPUBLICAN,SANDY SMITH,2388
NORTH CAROLINA,1,OS WILLIS BUILDING,DEMOCRAT,G K BUTTERFIELD,2718
NORTH CAROLINA,1,OS WILLIS BUILDING,REPUBLICAN,SANDY SMITH,2546
NORTH CAROLINA,1,OS WINTERVILLE,DEMOCRAT,G K BUTTERFIELD,4341
NORTH CAROLINA,1,OS WINTERVILLE,REPUBLICAN,SANDY SMITH,4734
NORTH CAROLINA,1,P01A,DEMOCRAT,G K BUTTERFIELD,126
NORTH CAROLINA,1,P01A,REPUBLICAN,SANDY SMITH,312
NORTH CAROLINA,1,P02A,DEMOCRAT,G K BUTTERFIELD,139
NORTH CAROLINA,1,P02A,REPUBLICAN,SANDY SMITH,348
